Idade,Censo 2000,Censo 2010,Censo 2022
Total,1422905,1537704,1488920
0 a 4 anos,118041,96846,80947
Menos de 1 ano,23591,19142,14458
Menos de 1 mês,1920,1572,1175
1 mês,1995,1442,1202
2 meses,2100,1710,1240
3 meses,2003,1631,1150
4 meses,1942,1651,1192
5 meses,1746,1331,1091
6 meses,1836,1446,1168
7 meses,2053,1745,1237
8 meses,1943,1579,1213
9 meses,2009,1660,1329
10 meses,2072,1729,1244
11 meses,1972,1646,1217
1 ano,22973,19085,14284
2 anos,23629,19119,16538
3 anos,23897,19472,17587
4 anos,23951,20028,18080
5 a 9 anos,121420,104977,93275
5 anos,24647,20421,17053
6 anos,24832,20078,19119
7 anos,24308,21056,19425
8 anos,23836,21324,18759
9 anos,23797,22098,18919
10 a 14 anos,132779,120099,89504
10 anos,24960,24706,18051
11 anos,26780,23530,17761
12 anos,26828,23659,18072
13 anos,26902,23724,17914
14 anos,27309,24480,17706
15 a 19 anos,145529,125574,95331
15 anos,27321,25541,18203
16 anos,27554,24931,18676
17 anos,30025,24834,19028
18 anos,30842,25474,19565
19 anos,29787,24794,19859
20 a 24 anos,139544,139894,108788
20 anos,29492,26693,20714
21 anos,28072,28191,20969
22 anos,28227,28432,23269
23 anos,27401,28202,21977
24 anos,26352,28376,21859
25 a 29 anos,125736,141152,110525
25 anos,26310,28355,22477
26 anos,24876,26882,21940
27 anos,25991,28678,22746
28 anos,24934,29145,22307
29 anos,23625,28092,21055
30 a 34 anos,115547,130374,111506
30 anos,24665,29089,23223
31 anos,22587,25612,20622
32 anos,22882,26356,22377
33 anos,22418,24889,23014
34 anos,22995,24428,22270
35 a 39 anos,109788,119613,116312
35 anos,23105,25519,23949
36 anos,22747,23361,23179
37 anos,22003,23732,22459
38 anos,21617,23778,22967
39 anos,20316,23223,23758
40 a 44 anos,94205,112393,118769
40 anos,22119,24866,26932
41 anos,18831,21587,23406
42 anos,19213,22987,24673
43 anos,17120,20996,22427
44 anos,16922,21957,21331
45 a 49 anos,76874,104214,105430
45 anos,17322,22828,22682
46 anos,15980,21410,20824
47 anos,14829,20271,20597
48 anos,14624,20195,20582
49 anos,14119,19510,20745
50 a 54 anos,63147,89768,100962
50 anos,15090,21351,22295
51 anos,12505,18011,19752
52 anos,12981,17849,20588
53 anos,11701,16251,19285
54 anos,10870,16306,19042
55 a 59 anos,46763,71076,93575
55 anos,10594,16295,19044
56 anos,9869,14966,19144
57 anos,9179,13725,18739
58 anos,8821,13145,18943
59 anos,8300,12945,17705
60 a 64 anos,40906,56571,81917
60 anos,9949,14104,18614
61 anos,7623,11178,15991
62 anos,7969,11408,17262
63 anos,7736,10072,15708
64 anos,7629,9809,14342
65 a 69 anos,31692,40929,63441
65 anos,7757,10057,14632
66 anos,6291,8439,13164
67 anos,5988,7968,12934
68 anos,5900,7389,11965
69 anos,5756,7076,10746
70 a 74 anos,26054,32910,47650
70 anos,6418,8222,11020
71 anos,4936,6338,9563
72 anos,5303,6456,10041
73 anos,4897,6028,8682
74 anos,4500,5866,8344
75 a 79 anos,17414,22361,31091
75 anos,4604,5467,7636
76 anos,3839,4442,6691
77 anos,3297,4235,6066
78 anos,3000,4224,5739
79 anos,2674,3993,4959
80 a 89 anos,14716,24415,
80 anos,2737,4383,5071
81 anos,2042,3157,4164
82 anos,2021,3091,4439
83 anos,1613,2857,3775
84 anos,1486,2551,3376
85 anos,1358,2401,3085
86 anos,1136,1993,2740
87 anos,869,1585,2388
88 anos,788,1282,1823
89 anos,666,1115,1575
90 a 99 anos,2595,4189,
90 anos,567,1075,1495
91 anos,348,731,1219
92 anos,273,639,1164
93 anos,376,427,832
94 anos,335,376,691
95 anos,272,320,544
96 anos,163,243,426
97 anos,105,159,334
98 anos,85,127,237
99 anos,71,92,181
100 anos ou mais,155,349,338
80 a 84 anos,,,20825
85 a 89 anos,,,11611
90 a 94 anos,,,5401
95 a 99 anos,,,1722